passenger_id,survived,pclass,name,sex,age,sibsp,parch,ticket,fare,cabin,embarked
31,1,1,"Master Lisa Taylor",male,50.5,0,0,A91205,16.02,,Queenstown
32,0,3,"Mrs. Carol Jones",female,0.8,1,0,A14877,9.38,,Cherbourg
33,0,1,"Mrs. Paul Rodriguez",female,17.8,1,0,STON30253,133.1,,Queenstown
34,0,3,"Dr. Anthony Moore",female,13.1,3,1,A99873,11.15,,Queenstown
35,0,1,"Master Sarah Gonzalez",male,59.2,0,0,S88269,62.38,,Southampton
36,1,3,"Mrs. William Torres",female,34.8,1,1,B53064,3.54,,Queenstown
37,0,2,"Mrs. William Wright",female,38.4,0,0,CA41186,30.47,,Southampton
38,0,2,"Mr. William Clark",male,28.6,2,0,A69245,10.9,,Queenstown
39,0,3,"Miss Sandra Johnson",female,8.9,1,0,PC19632,8.53,,Cherbourg
40,1,1,"Mr. William Moore",male,21.7,0,1,C69469,55.81,D7,Queenstown
41,0,3,"Mrs. Betty Lewis",female,0,0,1,C65936,11.86,,Cherbourg
42,0,1,"Master John Garcia",male,42.5,1,1,STON17861,87.47,E36,Cherbourg
43,1,1,"Master Daniel Ramirez",male,32.3,1,0,STON76507,2.44,D15,Southampton
44,0,3,"Miss Linda Moore",female,35.9,3,1,STON98470,0.77,,Southampton
45,1,2,"Mr. Barbara Moore",male,24.4,0,2,STON96159,26.8,,Southampton
46,1,1,"Mr. Deborah King",male,28.4,0,1,CA84395,93.22,A10,Southampton
47,1,3,"Mr. Amanda Garcia",male,15.3,0,0,CA77154,4.08,,Cherbourg
48,0,3,"Dr. Ashley King",male,40.4,1,0,C37686,9.13,,Cherbourg
49,0,3,"Mr. James Young",male,32.0,1,0,CA97562,11.49,,Southampton
50,0,1,"Master Mary Robinson",male,48.2,1,1,PC47947,50.06,A21,Southampton
51,1,3,"Master Brian White",male,31.7,1,0,PC50668,5.52,,Southampton
52,0,2,"Mr. Steven Davis",male,37.4,0,2,S29358,32.99,D17,Southampton
53,0,3,"Mrs. Carol Jones",female,27.7,2,1,PC99277,3.38,,Queenstown
54,1,3,"Miss Kenneth Lee",female,40.7,0,0,A56129,9.8,,Cherbourg
55,0,3,"Mr. Patricia White",male,53.3,2,1,STON60394,11.71,,Queenstown
56,1,1,"Master Andrew Gonzalez",male,31.2,0,0,CA55015,82.62,,Southampton
57,1,2,"Mr. Jessica Lewis",male,10.0,0,2,PC63578,18.35,,Queenstown
58,1,1,"Miss John Perez",female,33.7,1,1,STON29709,57.91,E43,Southampton
59,0,3,"Master William Hill",male,42.6,1,0,B97833,10.6,,Queenstown
60,1,3,"Mr. Carol Ramirez",male,38.7,3,0,CA73736,8.39,,Southampton
61,0,1,"Miss Michael Allen",female,50.7,0,0,CA91006,26.46,D10,Southampton
62,0,3,"Mrs. George Lewis",male,8.2,3,1,CA68841,12.8,,Southampton
63,0,3,"Mrs. Lisa Torres",female,12.4,0,0,B36174,8.78,,Southampton
64,1,2,"Mr. Carol Walker",male,22.9,2,1,C20993,18.75,,Cherbourg
65,0,3,"Mrs. Betty Garcia",female,28.1,0,0,A61964,12.31,,Southampton
66,0,1,"Miss Joseph Johnson",female,53.4,0,0,A47601,107.71,,Cherbourg
67,1,1,"Master Mark Flores",female,46.1,2,0,S89807,91.01,A50,Cherbourg
68,0,3,"Mr. Patricia Thomas",male,29.8,0,2,STON80261,3.75,F46,Southampton
69,0,3,"Mr. Michelle Thompson",male,4.5,0,2,A78951,10.96,,Queenstown
70,1,1,"Master Donald Williams",male,47.1,0,1,C41604,77.27,,Queenstown
71,0,3,"Miss William Williams",female,12.9,2,1,S72722,12.87,,Southampton
72,0,3,"Mr. Charles Gonzalez",female,26.5,3,0,CA81176,9.11,,Southampton
73,1,2,"Miss Daniel Brown",female,25.4,0,2,S67637,23.59,,Cherbourg
74,0,2,"Master Brian Young",male,32.2,0,0,PC88964,13.97,,Southampton
75,1,3,"Miss Michael Garcia",female,20.1,1,0,PC56077,12.17,,Queenstown
76,1,3,"Dr. Betty Moore",male,26.4,1,0,STON99051,6.67,,Southampton
77,0,3,"Master Robert Rodriguez",male,27.7,0,0,STON30111,4.24,,Cherbourg
78,0,3,"Mr. Andrew Rodriguez",male,6.4,0,0,S34385,11.46,,Cherbourg
79,1,1,"Miss Thomas Lewis",female,23.9,3,0,B19706,50.15,D6,Queenstown
80,1,3,"Miss Melissa Jones",female,21.6,0,1,S93584,11.27,,Cherbourg
81,1,2,"Mr. Richard Rodriguez",male,15.8,1,0,STON27009,20.28,,Southampton
82,0,3,"Master Melissa Walker",male,28.6,0,2,S19720,0.61,,Queenstown
83,1,3,"Mrs. Emily Nguyen",female,41.7,3,0,A77908,7.1,,Southampton
84,0,3,"Mrs. Daniel King",female,31.9,1,0,B91922,5.5,,Queenstown
85,0,3,"Mrs. Donna Nguyen",female,11.1,1,1,STON15399,2.63,,Southampton
86,0,1,"Dr. Thomas Wilson",male,23.2,0,1,C94136,101.43,,Cherbourg
87,0,3,"Miss Sandra Jones",female,34.1,0,0,B50970,11.47,,Cherbourg
88,1,3,"Master William White",male,34.4,0,0,B22689,9.84,G40,Cherbourg
89,0,2,"Miss Andrew Lee",female,54.1,0,2,PC13037,42.37,E33,Cherbourg
90,0,2,"Dr. Daniel Brown",male,0.1,1,0,STON11071,20.53,,Cherbourg
91,0,2,"Miss Margaret White",male,46.1,0,0,PC76093,23.25,,Queenstown
92,0,3,"Dr. Linda Rodriguez",male,2.6,0,2,CA28909,12.4,,Queenstown
93,0,3,"Mr. Robert Williams",male,16.0,0,1,STON28321,11.93,,Queenstown
94,0,2,"Master Michelle Martin",male,12.3,0,0,PC12180,19.56,,Queenstown
95,0,3,"Dr. Karen Johnson",male,22.7,3,1,B16731,13.81,,Southampton
96,1,3,"Master Elizabeth Thomas",female,32.3,0,0,B64127,7.38,,Cherbourg
97,1,3,"Master Deborah Brown",male,4.6,3,0,PC51124,7.4,,Cherbourg
98,1,3,"Dr. Daniel Taylor",male,29.3,1,0,C47880,10.81,,Queenstown
99,1,3,"Miss Donald Thompson",female,48.5,0,1,STON59767,5.44,,Cherbourg
100,1,3,"Mrs. Charles Williams",female,21.7,0,0,PC38047,4.4,,Queenstown
101,0,3,"Miss William Miller",female,14.8,1,0,S40518,6.45,G22,Queenstown
102,0,1,"Mrs. James Scott",female,47.5,3,0,S36143,116.54,,Cherbourg
103,0,3,"Mr. Jennifer Torres",male,22.8,0,2,PC33040,0.22,,Southampton
104,1,3,"Master Barbara Jackson",male,45.7,0,2,C69552,8.3,,Queenstown
105,1,3,"Mrs. Steven Robinson",female,30.2,1,1,S34405,4.66,G19,Queenstown
106,1,2,"Mrs. Michelle Sanchez",female,23.1,1,0,B72580,19.67,,Southampton
107,0,2,"Master Jessica Lewis",male,40.4,1,0,S57127,18.07,,Southampton
108,1,1,"Master Karen Hernandez",male,12.5,1,0,A93717,78.99,,Cherbourg
109,0,3,"Mrs. Joseph Rodriguez",female,0,0,1,PC80453,11.35,,Southampton
110,1,2,"Dr. Jennifer King",male,27.4,1,0,STON76255,16.91,F10,Southampton
111,0,3,"Master Linda Wilson",male,0,0,0,B77272,8.6,,Queenstown
112,0,3,"Master Amanda Martin",male,1.6,1,1,A65534,12.48,,Southampton
113,1,1,"Mr. Donald Williams",male,40.8,1,1,PC59081,94.64,,Cherbourg
114,0,3,"Master Jennifer Wright",male,30.1,3,0,B39188,6.45,,Southampton
115,0,3,"Dr. Betty Wright",male,27.3,0,0,S24790,12.41,G40,Southampton
116,0,2,"Mr. Michael Hill",female,11.2,0,1,PC67535,12.81,D49,Southampton
117,0,3,"Miss Joseph Torres",female,5.5,0,0,B96535,4.55,,Cherbourg
118,0,2,"Mr. Emily Nguyen",male,45.7,0,0,C94320,14.08,,Queenstown
119,0,3,"Master Elizabeth Martin",male,25.5,2,0,S28920,3.47,,Southampton
120,1,3,"Master Emily King",male,25.5,1,2,CA58637,10.69,F4,Cherbourg
121,0,3,"Dr. Robert Jones",male,26.9,1,0,CA53642,1.6,,Southampton
122,0,2,"Mr. Deborah Walker",male,21.7,0,0,C47101,8.24,,Queenstown
123,1,3,"Miss Thomas White",female,17.7,3,0,CA51973,8.03,,Cherbourg
124,0,3,"Mr. Andrew Anderson",male,45.2,1,1,C29976,8.52,,Southampton
125,0,3,"Mrs. Ashley Scott",female,20.1,2,2,S74303,5.17,,Queenstown
126,1,3,"Mrs. William Wright",female,42.3,1,0,A19742,5.51,,Queenstown
127,0,1,"Master William Anderson",male,42.9,0,0,S97392,97.13,,Cherbourg
128,1,3,"Mr. James Wright",male,44.6,0,2,A75826,8.37,,Queenstown
129,0,2,"Mr. Michael King",male,35.1,2,0,PC20357,29.14,,Cherbourg
130,0,3,"Mrs. Brian Anderson",female,28.1,3,1,A22255,6.55,,Cherbourg
131,1,3,"Mr. Kenneth Smith",male,51.8,1,0,CA22499,11.84,,Southampton
132,0,2,"Dr. Donald Moore",female,57.5,3,0,A33508,28.21,,Cherbourg
133,0,2,"Dr. Elizabeth Sanchez",male,23.5,1,1,S80852,29.82,,Queenstown
134,0,1,"Dr. Deborah Thompson",male,16.8,0,1,STON61996,102.07,,Cherbourg
135,0,2,"Master Ashley Anderson",male,42.9,1,1,A91083,16.93,D46,Southampton
136,0,2,"Mrs. Matthew Martinez",female,26.3,0,0,C45358,23.47,D12,Cherbourg
137,0,3,"Dr. Steven Clark",male,42.2,1,1,CA60493,10.71,G25,Southampton
138,1,3,"Mrs. Andrew King",female,18.6,0,0,A31916,9.49,,Cherbourg
139,0,3,"Mr. Lisa Taylor",male,21.6,1,0,B49932,3.4,G22,Queenstown
140,0,3,"Master Nancy Ramirez",male,52.5,0,0,S36326,0,,Southampton
141,0,3,"Miss Deborah Young",female,27.8,0,1,C24927,4.52,,Southampton
142,1,3,"Mrs. Amanda Scott",male,19.5,0,1,CA19064,0,,Cherbourg
143,1,3,"Mrs. Kenneth Martin",female,11.2,2,0,STON72814,2.68,,Queenstown
144,1,3,"Dr. Robert White",male,33.2,3,0,B96193,3.04,,Southampton
145,1,3,"Mr. Andrew Sanchez",male,11.0,0,0,B76935,14.22,,Queenstown
146,1,3,"Mrs. Mark White",female,28.0,1,0,A73277,2.72,,Cherbourg
147,0,1,"Mrs. Daniel Martin",female,41.1,0,0,S69303,44.44,C3,Queenstown
148,0,1,"Miss Carol Miller",female,55.7,0,0,B53383,154.03,D15,Cherbourg
149,1,2,"Mrs. Kenneth Ramirez",female,26.7,0,0,A38153,3.48,F5,Queenstown
150,0,3,"Mrs. Lisa Lee",female,43.0,0,2,C88246,11.91,,Cherbourg
151,1,1,"Miss Daniel Robinson",female,45.3,0,1,A98094,36.77,A16,Cherbourg
152,0,2,"Miss Brian Martinez",female,22.4,0,0,S80435,22.14,,Queenstown
153,0,3,"Mrs. Ashley Jackson",female,18.1,0,0,A73518,12.02,,Cherbourg
154,1,3,"Master Anthony Young",male,34.9,0,0,CA38905,4.09,,Cherbourg
155,0,3,"Miss David Robinson",female,27.6,1,1,C81186,3.37,,Cherbourg
156,1,1,"Master Paul Wilson",male,56.1,2,0,A68947,113.89,A29,Southampton
157,1,2,"Mrs. Deborah Nguyen",female,41.3,0,1,CA37082,11.58,,Southampton
158,1,3,"Dr. Sarah Hill",male,13.9,0,0,CA77425,13.59,,Queenstown
159,1,1,"Mrs. Anthony Brown",female,42.2,2,0,S52217,68.41,,Queenstown
160,0,3,"Mrs. Andrew Moore",female,20.5,2,1,PC77582,9.12,,Queenstown
161,0,3,"Master Christopher Nguyen",female,28.9,1,0,S56952,1.58,,Queenstown
162,0,2,"Master Susan Young",male,35.0,1,0,PC55054,13.6,,Southampton
163,0,1,"Master Mary Davis",male,45.2,3,0,S27290,107.75,,Cherbourg
164,0,2,"Mr. Carol White",male,8.0,0,0,C40689,32.48,,Southampton
165,1,1,"Mr. Susan Walker",male,25.9,0,0,C25806,59.84,,Cherbourg
166,1,1,"Master John Anderson",male,37.3,0,2,B60164,66.16,,Southampton
167,1,1,"Mr. Kimberly Torres",female,30.4,1,1,B63963,53.86,,Cherbourg
168,1,2,"Mr. Michael Rodriguez",male,17.3,3,0,B42477,15.8,D16,Queenstown
169,1,3,"Dr. Charles Johnson",male,17.6,1,0,S61347,5.16,,Southampton
170,1,2,"Master Matthew Davis",male,25.5,3,0,C51480,17.66,F27,Cherbourg
171,1,2,"Master John Johnson",male,38.7,3,2,PC76402,20.48,F33,Cherbourg
172,0,3,"Mr. Kenneth Wright",male,28.8,0,2,CA30365,9.37,,Cherbourg
173,1,1,"Miss Brian Ramirez",female,40.4,0,0,PC90254,71.48,,Cherbourg
174,1,2,"Mr. James Rodriguez",male,46.8,1,1,S43980,36.95,D48,Cherbourg
175,1,1,"Mr. Nancy Ramirez",male,55.4,1,0,PC76949,98.5,D37,Southampton
176,0,2,"Miss Michael Torres",female,46.2,0,2,A42053,28.71,E25,Southampton
177,0,1,"Dr. Melissa Clark",male,38.3,0,1,STON58864,146.74,A12,Southampton
178,1,3,"Mr. Margaret Jones",male,43.4,0,0,PC11044,2.86,,Cherbourg
179,1,3,"Dr. Jessica Robinson",male,80.1,2,1,STON42129,5.54,,Cherbourg
180,0,2,"Dr. Daniel Smith",male,49.5,2,1,A36895,20.11,,Southampton
181,0,3,"Mr. Elizabeth Moore",male,55.0,1,1,C70091,3.95,,Southampton
182,1,1,"Dr. William Sanchez",male,26.3,3,0,C51288,66.75,,Cherbourg
183,1,3,"Miss Mark Moore",female,33.1,2,0,A31544,7.25,,Cherbourg
184,0,1,"Dr. Daniel Wilson",male,15.1,0,1,C89076,93.4,C10,Southampton
185,1,2,"Miss Margaret Allen",male,21.2,0,2,CA69270,34.13,,Queenstown
186,0,1,"Master Michael Rodriguez",male,57.4,0,0,PC58790,99.75,,Queenstown
187,0,3,"Dr. Thomas Jones",female,56.7,0,0,CA53456,11.4,,Cherbourg
188,0,2,"Dr. Betty Sanchez",male,18.1,0,2,C46681,25.67,,Southampton
189,0,3,"Dr. Michelle Thomas",male,0,0,0,PC27987,8.06,,Queenstown
190,1,3,"Mrs. Kenneth Wright",female,52.9,0,0,PC55093,7.54,,Queenstown
191,0,3,"Miss Barbara Johnson",female,31.6,2,0,PC79393,16.35,,Queenstown
192,0,2,"Mr. Jessica Thomas",male,41.6,0,2,B85457,3.67,,Cherbourg
193,0,2,"Mrs. Jessica Nguyen",female,28.0,1,1,C84403,12.48,,Queenstown
194,0,3,"Dr. Karen Lopez",male,34.8,0,0,A53481,9.56,,Southampton
195,1,1,"Miss Melissa Lopez",female,43.9,0,1,B24538,57.99,,Cherbourg
196,0,3,"Master Donna Miller",male,5.8,1,0,S73858,17.8,,Southampton
197,1,3,"Dr. Daniel Anderson",male,31.1,1,0,B10235,4.42,,Queenstown
198,0,3,"Mr. Barbara Hill",male,32.9,1,0,PC28434,2.87,,Southampton
199,0,3,"Miss David Garcia",female,12.5,0,0,B42707,2.33,,Cherbourg
200,0,1,"Mr. Patricia Harris",male,31.7,0,2,C81568,88.75,D37,Queenstown
201,1,2,"Mrs. Mark Jones",female,31.8,0,0,C32296,20.34,,Southampton
202,1,1,"Dr. Jennifer Perez",male,27.6,0,2,B89602,57.44,,Southampton
203,0,1,"Miss Susan Gonzalez",female,12.2,1,1,C41135,57.2,D37,Queenstown
204,1,3,"Mrs. Patricia White",male,50.4,1,0,A13373,11.9,,Queenstown
205,0,1,"Master Linda Martin",male,13.0,0,1,PC34232,91.56,D24,Southampton
206,0,1,"Miss Mark Robinson",female,46.0,0,1,A21233,46.98,,Queenstown
207,0,3,"Mrs. Emily Brown",female,31.9,1,2,PC85066,4.21,,Cherbourg
208,0,1,"Master Melissa Williams",male,55.5,1,1,A68856,48.47,B14,Southampton
209,0,1,"Master Jennifer Ramirez",male,41.0,1,0,S18783,64.76,E26,Queenstown
210,0,2,"Dr. Sandra Smith",male,16.8,0,0,B84264,13.21,,Southampton
211,0,3,"Mr. Charles Wright",male,34.0,1,1,PC14910,5.83,,Cherbourg
212,0,3,"Dr. Amanda Sanchez",female,36.0,0,1,C58816,5.7,G20,Cherbourg
213,1,3,"Mr. Joseph Rodriguez",male,23.9,0,1,STON94614,1.11,G14,Cherbourg
214,1,3,"Dr. Lisa Brown",male,32.5,1,0,CA78719,10.9,,Southampton
215,0,2,"Mrs. Patricia Thomas",male,41.6,0,0,PC76207,22.36,,Southampton
216,1,1,"Mrs. Lisa Young",female,48.7,1,0,B43903,134.48,,Queenstown
217,0,3,"Mr. Matthew Brown",male,0,2,1,S37096,3.46,,Cherbourg
218,1,1,"Mr. Donald Rodriguez",male,36.7,0,1,C94245,77.68,D23,Cherbourg
219,0,2,"Master Karen King",male,23.8,1,1,CA59051,22.24,,Queenstown
220,1,3,"Miss Amanda Miller",female,18.4,0,0,S95389,10.76,,Southampton
